name,prompt,negative_prompt,detailed_prompt,very_detailed_prompt
artstyle-pop art,"Pop Art style {prompt} . bright colors, bold outlines, popular culture themes, ironic or kitsch","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, minimalist","A Pop Art style illustration of an {prompt}, featuring bright colors, bold outlines, themes from popular culture, with an ironic or kitsch undertone.","Envision a Pop Art style illustration of an {prompt}, where the bold and colorful aesthetics of the Pop Art movement are vibrantly brought to life. The {prompt} is rendered with bright, eye-catching colors and strong graphic lines, reminiscent of the iconic works of Warhol and Lichtenstein. This style often incorporates elements of popular culture and commercial imagery, using irony and satire to comment on contemporary society. The composition is striking and direct, often using repetition or comic-inspired layouts to draw the viewer's attention. This Pop Art depiction is not just an artwork; it's a statement, a bold commentary on the {prompt}'s role in the modern world, wrapped in a visually arresting package that is both nostalgic and sharply contemporary."
artstyle-psychedelic,"psychedelic style {prompt} . vibrant colors, swirling patterns, abstract forms, surreal, trippy","monochrome, black and white, low contrast, realistic, photorealistic, plain, simple","A psychedelic style artwork of an {prompt}, vibrant colors, swirling patterns, abstract forms, surreal, and trippy in design.","Picture a psychedelic style artwork of an {prompt}, where swirling patterns, vibrant colors, and surreal forms create a trippy, mind-bending experience. The {prompt} is transformed into a fantastical version of itself, adorned with intricate, abstract designs that seem to move and change. The colors are intensely vivid, often clashing in a way that is intentionally disorienting yet aesthetically pleasing. This style is about pushing the boundaries of perception and reality, creating a visual experience that is as much about the journey as it is about the {prompt} itself. The composition is fluid and dynamic, inviting the viewer to get lost in the kaleidoscope of colors and forms. It's a celebration of creativity and imagination, where the {prompt} becomes the centerpiece of a psychedelic adventure."
artstyle-renaissance,"Renaissance style {prompt} . realistic, perspective, light and shadow, religious or mythological themes, highly detailed","ugly, deformed, noisy, blurry, low contrast, modernist, minimalist, abstract","A Renaissance style artwork of an {prompt}, realistic, with perspective, light and shadow, possibly depicting religious or mythological themes, highly detailed.","Envision a Renaissance style artwork of an {prompt}, where the elegance and sophistication of the Renaissance period are meticulously captured. The {prompt} is portrayed with a focus on realism, using techniques like perspective and chiaroscuro to create a three-dimensional, lifelike appearance. The colors are rich and natural, with a focus on harmonious composition and fine detail. The background often includes elements typical of Renaissance art, such as landscapes or architectural details, providing context and depth. This style is a nod to the masters of the past, a tribute to the skill and artistry that defined the Renaissance. The {prompt} is not just depicted; it's elevated, given a sense of dignity and beauty that transcends time and place."
artstyle-steampunk,"steampunk style {prompt} . antique, mechanical, brass and copper tones, gears, intricate, detailed","deformed, glitch, noisy, low contrast, anime, photorealistic","A steampunk style depiction of an {prompt}, antique, mechanical, with brass and copper tones, gears, intricate, and detailed.","Visualize a steampunk style depiction of an {prompt}, where the blend of Victorian elegance and industrial machinery creates a unique, anachronistic aesthetic. The {prompt} is designed with intricate gears, brass and copper tones, and mechanical details that evoke a sense of adventure and innovation. It appears as if it belongs in an alternate history, where steam power reigns supreme. The textures are rich and tactile, suggesting both the grit of industry and the refinement of the Victorian era. This style is about more than just a visual theme; it's about storytelling, creating a piece that transports the viewer to a fantastical world where technology and imagination merge in extraordinary ways. The {prompt} becomes a relic from this imaginary epoch, a testament to the creative fusion of past and future."
artstyle-surrealist,"surrealist art {prompt} . dreamlike, mysterious, provocative, symbolic, intricate, detailed","anime, photorealistic, realistic, deformed, glitch, noisy, low contrast","A surrealist art piece of an {prompt}, dreamlike, mysterious, provocative, symbolic, intricate, and detailed.","Imagine a surrealist art piece of an {prompt}, where dreamlike imagery and illogical scenes challenge the viewer's sense of reality. The {prompt} is placed in an unexpected context or combined with other disparate elements, creating a sense of mystery and intrigue. The colors are often vivid or unsettling, contributing to the surreal quality of the artwork. This style plays with the subconscious, drawing on dream imagery and symbolic content to evoke emotional responses. The composition is often whimsical or disturbing, bending the rules of logic and reality. The {prompt} is not just depicted; it's transformed into a piece of the surreal landscape, inviting the viewer to explore a world where the ordinary becomes extraordinary, and the impossible seems plausible."
artstyle-typography,"typographic art {prompt} . stylized, intricate, detailed, artistic, text-based","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic","A typographic art representation of an {prompt}, stylized, intricate, detailed, artistic, focusing on text-based design elements.","Picture a typographic art representation of an {prompt}, where words and letters are not just a means of communication but an artistic medium. The {prompt} is composed of carefully selected fonts and typesetting, creating an image that is both textual and visual. The arrangement of the letters and words is precise and deliberate, forming the shape and essence of the {prompt} while conveying a message or theme. The colors and typefaces are chosen for their aesthetic and emotional impact, complementing the overall design. This style is a blend of graphic design and visual art, where the {prompt} is reimagined through the beauty of typography, turning text into a visual spectacle that engages both the mind and the eye."
artstyle-watercolor,"watercolor painting {prompt} . vibrant, beautiful, painterly, detailed, textural, artistic","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy","A watercolor painting of an {prompt}, vibrant, beautiful, painterly, detailed, with textural and artistic qualities.","Envision a watercolor painting of an {prompt}, where the fluidity and translucence of watercolors create a soft, ethereal effect. The {prompt} is painted with delicate brushstrokes, blending colors seamlessly to capture its form and essence. The watercolor medium allows for a range of expressions, from bold washes to fine, detailed lines. The colors are luminous and layered, giving the artwork a sense of depth and vibrancy. The composition often has a spontaneous, organic feel, reflecting the unpredictable nature of watercolor painting. This style is about capturing the subtleties and nuances of the {prompt}, creating an artwork that is as delicate and nuanced as the medium itself. The {prompt}, rendered in watercolor, becomes a poetic interpretation, a visual melody of colors and shapes."
futuristic-biomechanical,"biomechanical style {prompt} . blend of organic and mechanical elements, futuristic, cybernetic, detailed, intricate","natural, rustic, primitive, organic, simplistic","A biomechanical style depiction of an {prompt}, blending organic and mechanical elements, futuristic, cybernetic, detailed, and intricate.","Visualize a biomechanical style depiction of an {prompt}, where the fusion of organic and mechanical elements creates a futuristic, cybernetic aesthetic. The {prompt} is a marvel of this style, blending natural forms with mechanical structures in a seamless and intricate design. Imagine a blend of sinew and circuitry, where the biological and technological intertwine in a harmonious and yet slightly unsettling display. The colors and textures shift from the organic to the metallic, creating a juxtaposition that is both alien and familiar. This style is not just a visual experience; it's a conceptual exploration of the merging of life and machine, posing questions about the future of evolution and technology. The {prompt} becomes a symbol of this integration, a physical representation of the potential and the paradoxes of the biomechanical realm."
futuristic-biomechanical cyberpunk,"biomechanical cyberpunk {prompt} . cybernetics, human-machine fusion, dystopian, organic meets artificial, dark, intricate, highly detailed","natural, colorful, deformed, sketch, low contrast, watercolor","A biomechanical cyberpunk artwork of an {prompt}, showcasing cybernetics, a human-machine fusion, in a dystopian setting, organic meets artificial, dark, intricate, highly detailed.","Envision a biomechanical cyberpunk artwork of an {prompt}, where the gritty, dystopian world of cyberpunk meets the complex integration of organic and mechanical design. The {prompt} exemplifies this fusion, showcasing cybernetic enhancements that blur the line between technology and biology. It's set against a backdrop of a neon-lit, dystopian cityscape, embodying the essence of cyberpunk aesthetics. Imagine a dark world where advanced technology intertwines with human forms, creating a landscape that is both futuristic and noir. The {prompt}, whether it's a piece of advanced machinery or a cybernetically enhanced organism, stands as a testament to the ingenuity and the potential dangers of this technological evolution. The style is a blend of dark, intricate details and neon highlights, creating a visual narrative that is as compelling as it is cautionary."
futuristic-cybernetic,"cybernetic style {prompt} . futuristic, technological, cybernetic enhancements, robotics, artificial intelligence themes","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, historical, medieval","A cybernetic style illustration of an {prompt}, futuristic, emphasizing technological and cybernetic enhancements, robotics, and artificial intelligence themes.","Picture a cybernetic style illustration of an {prompt}, where the sleek, advanced world of futuristic technology is brought to life. The {prompt} is a pinnacle of cybernetic design, featuring robotic elements and high-tech enhancements that suggest a world of advanced artificial intelligence and robotics. The colors are metallic and cold, with accents of neon or LED lighting that highlight the technological nature of the {prompt}. The design is both functional and aesthetic, suggesting a level of technological sophistication that is both awe-inspiring and somewhat intimidating. This style is about more than just futuristic imagery; it's about envisioning the possibilities of technology, where the {prompt} serves as a bridge between the current state of human innovation and the endless potential of the future."
futuristic-cybernetic robot,"cybernetic robot {prompt} . android, AI, machine, metal, wires, tech, futuristic, highly detailed","organic, natural, human, sketch, watercolor, low contrast","A cybernetic robot style depiction of an {prompt}, android-like, AI, machine, with metal and wires, tech-focused, futuristic, highly detailed.","Imagine a cybernetic robot style depiction of an {prompt}, where the {prompt} embodies the cutting-edge of robotics and artificial intelligence. The design is sleek, metallic, and imbued with a sense of advanced technology. Picture a blend of smooth surfaces and intricate circuitry, a testament to the prowess of futuristic engineering. The robot could feature elements like articulated limbs, sensor arrays, and glowing LED lights, all contributing to its high-tech appearance. This style goes beyond mere robotics; it's about creating a vision of the future where technology and intelligence converge in the form of a cybernetic robot. The {prompt} becomes a symbol of what might be possible in a world where robotics reach the pinnacle of their potential, blending functionality with an almost lifelike presence."
futuristic-cyberpunk cityscape,"cyberpunk cityscape {prompt} . neon lights, dark alleys, skyscrapers, futuristic, vibrant colors, high contrast, highly detailed","natural, rural, deformed, low contrast, black and white, sketch, watercolor","A cyberpunk cityscape style image of an {prompt}, with neon lights, dark alleys, skyscrapers, futuristic, vibrant colors, high contrast, highly detailed.","Envision a cyberpunk cityscape style image of an {prompt}, where the {prompt} is immersed in a neon-drenched, futuristic urban landscape. The cityscape is a blend of towering skyscrapers, digital billboards, and shadowy alleys, all bathed in the glow of neon lights. The {prompt}, whether it's a high-tech device or a part of the city itself, is infused with a sense of futurism and dystopian beauty. Imagine streets lined with holographic signs and flying vehicles, creating a backdrop that's both vibrant and gritty. This style captures the essence of cyberpunk - a fusion of advanced technology, urban decay, and a society on the brink of transformation. The {prompt} stands as a beacon within this world, a symbol of either hope or despair in the neon-lit night."
futuristic-futuristic,"futuristic style {prompt} . sleek, modern, ultramodern, high tech, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, vintage, antique","A futuristic style representation of an {prompt}, sleek, modern, ultramodern, high tech, and detailed, epitomizing advanced design.","Picture a futuristic style representation of an {prompt}, where the design is ultra-modern and cutting-edge, embodying the essence of a high-tech future. The {prompt} showcases sleek lines, advanced materials, and innovative features that seem years ahead of their time. The color scheme is sophisticated, with metallic hues and perhaps accents of vibrant colors that hint at the {prompt}'s advanced nature. The design is both functional and aesthetically pleasing, reflecting a future where technology and design converge in perfect harmony. This style is about pushing the boundaries of current design trends, imagining how the {prompt}s we use every day might evolve in the not-so-distant future. It's a vision of progress and innovation, where the {prompt} serves as a glimpse into a world that is continually advancing and redefining what is possible."
futuristic-retro cyberpunk,"retro cyberpunk {prompt} . 80's inspired, synthwave, neon, vibrant, detailed, retro futurism","modern, desaturated, black and white, realism, low contrast","A retro cyberpunk style artwork of an {prompt}, 80's inspired, synthwave, with neon and vibrant colors, detailed, capturing retro futurism.","Visualize a retro cyberpunk style artwork of an {prompt}, where the nostalgic elements of 1980s synthwave merge with the gritty, futuristic aesthetics of cyberpunk. The {prompt} is depicted amidst a backdrop of neon lights, digital landscapes, and retro-futuristic motifs, evoking a sense of nostalgia for a future imagined in the past. The colors are a blend of bright neons and dark, moody tones, creating a contrast that is quintessentially cyberpunk yet distinctly retro. The design elements combine sleek futuristic lines with retro digital graphics, symbolizing a convergence of past visions of the future with contemporary cyberpunk themes. This style is about revisiting and reimagining the futuristic dreams of the past, placing the {prompt} at the intersection of retro nostalgia and modern futuristic concepts."
futuristic-retro futurism,"retro-futuristic {prompt} . vintage sci-fi, 50s and 60s style, atomic age, vibrant, highly detailed","contemporary, realistic, rustic, primitive","A retro-futuristic style depiction of an {prompt}, inspired by vintage sci-fi, 50s and 60s style, atomic age, vibrant, highly detailed.","Imagine a retro-futuristic style depiction of an {prompt}, where the optimistic sci-fi visions of the 1950s and 60s are realized in vivid detail. The {prompt} embodies the era's characteristic atomic-age design, with sleek lines, atomic motifs, and a sense of whimsical innovation. The color palette is vibrant and bold, featuring pastel hues and futuristic metallics that capture the era's unique aesthetic. The design is both a tribute to the past and a playful reimagining of vintage science fiction, blending nostalgia with forward-thinking design. This style is about capturing the spirit of an era when the future was seen as a realm of endless possibilities, and the {prompt} serves as a bridge between the imaginative dreams of the past and the reality of the present."
futuristic-sci-fi,"sci-fi style {prompt} . futuristic, technological, alien worlds, space themes, advanced civilizations","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, historical, medieval","A sci-fi style artwork of an {prompt}, futuristic, with technological, alien worlds, space themes, and advanced civilizations elements.","Envision a sci-fi style artwork of an {prompt}, where the boundaries of science and imagination merge to create a vision of the future. The {prompt} is a marvel of sci-fi design, embodying advanced technology, alien aesthetics, or futuristic functionality. It might be set against a backdrop of distant galaxies, advanced civilizations, or uncharted space territories, enhancing its otherworldly allure. The colors are a mix of deep space hues and vibrant technological glows, adding to the futuristic feel. The design elements are intricate and imaginative, suggesting a level of technological advancement that is both awe-inspiring and thought-provoking. This style is about exploring the endless possibilities of the future, where the {prompt} is not just a creation of the present but a gateway to the unknown wonders of the cosmos."
futuristic-vaporwave,"vaporwave style {prompt} . retro aesthetic, cyberpunk, vibrant, neon colors, vintage 80s and 90s style, highly detailed","monochrome, muted colors, realism, rustic, minimalist, dark","A vaporwave style image of an {prompt}, with a retro aesthetic, cyberpunk, vibrant, neon colors, vintage 80s and 90s style, highly detailed.","Picture a vaporwave style image of an {prompt}, where the retro aesthetics of the 80s and 90s blend with modern cyberpunk themes. The {prompt} is depicted in a world of surreal, neon-infused landscapes, characterized by vintage digital graphics and a distinctively retro-futuristic vibe. The colors are a palette of pastel pinks, blues, and purples, evoking a sense of nostalgia mixed with contemporary flair. Elements of classical art, early internet imagery, and glitch art might be interwoven, creating a unique visual narrative. This style is about reinterpreting the past through the lens of the present, creating a dreamlike, almost hallucinatory experience where the {prompt} becomes a symbol of both nostalgia and modern digital culture. It’s a fusion of times and styles, where the {prompt} is at the center of a vaporwave fantasy."
game-bubble bobble,"Bubble Bobble style {prompt} . 8-bit, cute, pixelated, fantasy, vibrant, reminiscent of Bubble Bobble game","realistic, modern, photorealistic, violent, horror","A Bubble Bobble style artwork of an {prompt}, 8-bit, cute, pixelated, fantasy, vibrant, reminiscent of the Bubble Bobble game.","Imagine a Bubble Bobble style artwork of an {prompt}, where the charming and whimsical world of the classic game is brought to life. The {prompt} is rendered in the cute, pixelated style characteristic of the game, filled with bright, playful colors. It might be surrounded by fantasy elements like magical bubbles, cute monsters, or fantastical landscapes, echoing the game's iconic aesthetic. The composition is simple yet delightful, capturing the essence of 8-bit graphics and the nostalgia of early video gaming. This style is about revisiting childhood memories and the simplicity of classic arcade games, where the {prompt} is transformed into a pixelated version of itself, inviting viewers to a world of joy, playfulness, and nostalgia."
game-cyberpunk game,"cyberpunk game style {prompt} . neon, dystopian, futuristic, digital, vibrant, detailed, high contrast, reminiscent of cyberpunk genre video games","historical, natural, rustic, low detailed","A cyberpunk game style illustration of an {prompt}, neon, dystopian, futuristic, digital, vibrant, detailed, high contrast, typical of cyberpunk genre video games.","Visualize a cyberpunk game style illustration of an {prompt}, where the gritty, neon-soaked world of cyberpunk video games comes to life. The {prompt} is set in a dystopian urban landscape, surrounded by high-tech gadgets, cybernetic enhancements, and a society dominated by corporations. The colors are a mix of neon glows and dark shadows, creating a high-contrast, visually striking scene. The design elements reflect the cyberpunk genre's themes: advanced technology, societal decay, and a fusion of the digital and the physical. This style is not just about the visual aesthetics of cyberpunk games; it's about immersing the {prompt} in a narrative-rich world where technology and human nature collide in dramatic and thought-provoking ways."
game-fighting game,"fighting game style {prompt} . dynamic, vibrant, action-packed, detailed character design, reminiscent of fighting video games","peaceful, calm, minimalist, photorealistic","A fighting game style depiction of an {prompt}, dynamic, vibrant, action-packed, detailed character design, reminiscent of fighting video games.","Imagine a fighting game style depiction of an {prompt}, where the high-energy and dynamic visuals of classic fighting video games are captured. The {prompt} is portrayed with exaggerated, action-packed features, reminiscent of iconic fighting game characters. It’s set against a backdrop that could be a fighting arena, complete with vibrant colors and dramatic lighting that highlight its presence. The design is detailed and vibrant, conveying a sense of movement and intensity. This style is about capturing the essence of the adrenaline-pumping world of fighting games, where every element is over-the-top and filled with a sense of power and competition. The {prompt}, though inanimate, is infused with the spirit of a fighter – bold, fierce, and ready to make its mark in the gaming world."
game-gta,"GTA-style artwork {prompt} . satirical, exaggerated, pop art style, vibrant colors, iconic characters, action-packed","realistic, black and white, low contrast, impressionist, cubist, noisy, blurry, deformed","A GTA-style artwork of an {prompt}, satirical, exaggerated, pop art style, vibrant colors, iconic characters, action-packed.","Envision a GTA-style artwork of an {prompt}, where the satirical, exaggerated world of the Grand Theft Auto series is brought to life. The {prompt} is stylized in a pop art manner, with vibrant colors and a hint of urban grit. It might be portrayed amidst a cityscape that echoes the game's iconic settings, complete with street scenes, vehicles, and a sense of bustling urban life. The style is a blend of realism and caricature, capturing the essence of the game's unique approach to storytelling and world-building. This style is about more than just visual mimicry; it's about encapsulating the attitude and flair of the GTA universe, where the {prompt} is not just depicted but becomes a part of the game's provocative and vivid world."
game-mario,"Super Mario style {prompt} . vibrant, cute, cartoony, fantasy, playful, reminiscent of Super Mario series","realistic, modern, horror, dystopian, violent","A Super Mario style illustration of an {prompt}, vibrant, cute, cartoony, fantasy, playful, reminiscent of the Super Mario series.","Picture a Super Mario style illustration of an {prompt}, where the colorful and whimsical world of the Mario series is recreated. The {prompt} is rendered in a cartoonish, vibrant style, filled with the playfulness and charm characteristic of the game. It might be surrounded by elements like question blocks, pipes, or iconic enemies, all designed in the same playful and bright aesthetic. The colors are bold and cheerful, capturing the essence of Mario's adventures. This style is about bringing a sense of fun and nostalgia, where the {prompt} is transformed into something straight out of the Mushroom Kingdom, inviting viewers into a world of imagination and joy."
game-minecraft,"Minecraft style {prompt} . blocky, pixelated, vibrant colors, recognizable characters and objects, game assets","smooth, realistic, detailed, photorealistic, noise, blurry, deformed","A Minecraft style representation of an {prompt}, blocky, pixelated, vibrant colors, recognizable characters and {prompt}s, game assets.","Visualize a Minecraft style representation of an {prompt}, where the blocky, pixelated world of Minecraft is brought to life. The {prompt} is designed with the game's distinctive cubic form, appearing as if it's constructed from the game's iconic blocks. The colors are bright and true to the game's palette, creating a look that is instantly recognizable to fans of Minecraft. The environment might include elements like grass blocks, trees, or even a creeper, all rendered in the same pixelated style. This approach is not just about aesthetic; it's about capturing the creative spirit of Minecraft, where the {prompt} becomes part of a larger, block-built world that's limited only by imagination."
game-pokemon,"Pokémon style {prompt} . vibrant, cute, anime, fantasy, reminiscent of Pokémon series","realistic, modern, horror, dystopian, violent","A Pokémon style artwork of an {prompt}, vibrant, cute, anime, fantasy, reminiscent of the Pokémon series.","Imagine a Pokémon style artwork of an {prompt}, where the vibrant and imaginative world of Pokémon is captured. The {prompt} is reimagined in the anime’s unique style, featuring bright colors, clean lines, and a sense of whimsy. It could be set in a lush landscape or a bustling Pokémon city, surrounded by various Pokémon in action. The artwork captures the magical essence of the Pokémon universe, with the {prompt} taking center stage as if it were a newly discovered Pokémon or a unique item from the game. The style is about blending the {prompt} with the playful and adventurous spirit of Pokémon, creating a scene that is delightful, engaging, and full of the wonder that defines the series. The {prompt} becomes an integral part of this fantasy world, inviting viewers to imagine its role and story within the vast Pokémon universe."
game-retro arcade,"retro arcade style {prompt} . 8-bit, pixelated, vibrant, classic video game, old school gaming, reminiscent of 80s and 90s arcade games","modern, ultra-high resolution, photorealistic, 3D","A retro arcade style image of an {prompt}, 8-bit, pixelated, vibrant, classic video game, old school gaming, reminiscent of 80s and 90s arcade games.","Envision a retro arcade style image of an {prompt}, where the nostalgic charm of 80s and 90s arcade games is brought to life. The {prompt} is depicted in classic pixelated graphics, reminiscent of the era's iconic video games. Bright, neon colors and simple yet expressive designs characterize the style, capturing the essence of a time when arcade games were a cultural phenomenon. The composition might evoke the feel of a bustling arcade, complete with pixelated scores, lives, and game icons. This style is about more than just retro aesthetics; it’s a tribute to the golden age of arcade gaming, where simplicity and creativity ruled. The {prompt}, transformed into a pixel art form, becomes a part of this nostalgic world, inviting viewers to reminisce and appreciate the artistry of classic arcade games."
game-retro game,"retro game art {prompt} . 16-bit, vibrant colors, pixelated, nostalgic, charming, fun","realistic, photorealistic, 35mm film, deformed, glitch, low contrast, noisy","A retro game art style representation of an {prompt}, 16-bit, vibrant colors, pixelated, nostalgic, charming, and fun.","Picture a retro game art style representation of an {prompt}, where the charming aesthetics of 16-bit video games are celebrated. The {prompt} is illustrated with a pixelated yet detailed approach, featuring vibrant colors and a nostalgic charm that harkens back to the era of classic console games. The style captures the quaint and imaginative art of old-school gaming, where limited graphics technology inspired unique and creative designs. The {prompt} is set in a scene that could be straight out of a vintage game, complete with pixel art landscapes or characters. This style is about recreating the magic of early gaming days, where the {prompt} becomes a part of a pixelated adventure, evoking memories and admiration for the art and ingenuity of retro video games."
game-rpg fantasy game,"role-playing game (RPG) style fantasy {prompt} . detailed, vibrant, immersive, reminiscent of high fantasy RPG games","sci-fi, modern, urban, futuristic, low detailed","A role-playing game (RPG) style fantasy artwork of an {prompt}, detailed, vibrant, immersive, reminiscent of high fantasy RPG games.","Visualize a role-playing game (RPG) style fantasy depiction of an {prompt}, where the detailed and immersive world of high fantasy RPGs is intricately crafted. The {prompt} is portrayed with elaborate designs, rich textures, and a sense of otherworldly beauty typical of fantasy game settings. It could be a magical artifact, a mythical weapon, or an enchanted item, surrounded by a fantastical landscape or within an ancient, mysterious structure. The style combines elements of myth, magic, and lore, creating a scene that is both captivating and rich in narrative potential. The colors are vibrant and deep, adding to the mystical atmosphere. This RPG fantasy style is about more than just aesthetics; it's about creating a sense of wonder and storytelling, where the {prompt} is not only a part of the fantasy world but also a key to untold stories and adventures."
game-strategy game,"strategy game style {prompt} . overhead view, detailed map, units, reminiscent of real-time strategy video games","first-person view, modern, photorealistic","A strategy game style image of an {prompt}, presented with an overhead view, detailed map, and units, reminiscent of real-time strategy video games.","Envision a strategy game style image of an {prompt}, where the {prompt} is intricately integrated into a top-down, tactical map-like environment. The {prompt}, possibly a building, unit, or terrain feature, is detailed with the precision and clarity characteristic of real-time strategy games. It's surrounded by other elements that contribute to the strategic landscape, such as varied terrain, resource points, or other units, all rendered in a detailed yet clear manner. The colors are distinct and purposeful, aiding in distinguishing different aspects of the game's mechanics. This style captures the essence of strategy gaming, where careful planning and tactical thinking are paramount. The {prompt} becomes a key piece in this grand game of decision-making and control, its design both functional for gameplay and visually engaging, inviting players to dive into a world where strategy and creativity collide."
game-streetfighter,"Street Fighter style {prompt} . vibrant, dynamic, arcade, 2D fighting game, highly detailed, reminiscent of Street Fighter series","3D, realistic, modern, photorealistic, turn-based strategy","A Street Fighter style artwork of an {prompt}, vibrant, dynamic, arcade, 2D fighting game aesthetic, highly detailed, reminiscent of the Street Fighter series.","Picture a Street Fighter style artwork of an {prompt}, where the vibrant, dynamic essence of the iconic fighting game is vividly captured. The {prompt} is stylized in a manner that reflects the exaggerated and impactful art of the game, with bold colors, strong lines, and a sense of movement. It could be portrayed in an intense action scene, reminiscent of the game's combat stages, complete with dramatic backgrounds and energetic effects. The style is a blend of realism and fantasy, capturing the adrenaline-pumping atmosphere of the Street Fighter universe. This artwork is not just a tribute to the game; it's a reimagination of the {prompt} as if it were part of the game's world - a fusion of the familiar and the fantastical, where the {prompt} is given a new life in the context of high-stakes, visually stunning combat."
game-zelda,"Legend of Zelda style {prompt} . vibrant, fantasy, detailed, epic, heroic, reminiscent of The Legend of Zelda series","sci-fi, modern, realistic, horror","A Legend of Zelda style illustration of an {prompt}, vibrant, fantasy, detailed, epic, heroic, reminiscent of The Legend of Zelda series.","Visualize a Legend of Zelda style illustration of an {prompt}, where the enchanting and adventurous spirit of the Zelda series is intricately woven into its design. The {prompt} is transformed with the series' distinctive fantasy style, incorporating elements like ancient runes, mystical symbols, or nature-inspired motifs. It could be set in a scene reminiscent of the game's vast landscapes, from lush forests to mystical temples, enhancing its magical allure. The colors are rich and vibrant, echoing the palette of the game's diverse worlds. This style captures the essence of exploration and wonder that defines the Zelda series. The {prompt} becomes a part of this legendary universe, a piece of Hyrule's lore and legend. It’s not just an illustration; it's a portal into the beloved world of Zelda, inviting viewers to embark on an imaginative journey filled with mystery, beauty, and adventure."
misc-architectural,"architectural style {prompt} . clean lines, geometric shapes, minimalist, modern, architectural drawing, highly detailed","curved lines, ornate, baroque, abstract, grunge","An architectural style drawing of an {prompt}, with clean lines, geometric shapes, minimalist, modern, architectural drawing, highly detailed.","Imagine an architectural style drawing of an {prompt}, where the precision and elegance of architectural design are prominently featured. The {prompt}, possibly a building or a structural element, is depicted with clean, geometric lines and an attention to detail that reflects the meticulous nature of architectural planning. It might be presented in a blueprint or 3D model style, showing different perspectives and dimensions. The colors are often monochromatic or subdued, focusing on the form and structure rather than the palette. This style is about capturing the art of architecture, where every line, curve, and angle is deliberate and meaningful. The {prompt} is more than just a representation; it's a study in design, space, and aesthetics, showcasing the beauty and complexity of architectural art."
misc-disco,"disco-themed {prompt} . vibrant, groovy, retro 70s style, shiny disco balls, neon lights, dance floor, highly detailed","minimalist, rustic, monochrome, contemporary, simplistic","A disco-themed representation of an {prompt}, vibrant, groovy, retro 70s style, featuring shiny disco balls, neon lights, dance floor, highly detailed.","Envision a disco-themed representation of an {prompt}, where the vibrant and energetic atmosphere of the 1970s disco era is brought to life. The {prompt} is infused with the essence of a disco dance floor, featuring bright colors, shimmering lights, and a sense of rhythmic movement. It could be set against a backdrop of glittering disco balls, neon lights, and lively dancers, all contributing to the festive and dynamic ambiance. The colors are a mix of bold and flashy hues, capturing the lively spirit of disco music and dance. This style is about more than capturing a time period; it’s a celebration of the joy and exuberance of disco culture. The {prompt} becomes a part of this vibrant scene, a symbol of the energy and flamboyance that defined the disco era, inviting viewers to step back in time and relive the excitement and glamour of the dance floor."
misc-dreamscape,"dreamscape {prompt} . surreal, ethereal, dreamy, mysterious, fantasy, highly detailed","realistic, concrete, ordinary, mundane","A dreamscape depiction of an {prompt}, surreal, ethereal, dreamy, mysterious, fantasy, highly detailed, like a vision from a dream.","Picture a dreamscape depiction of an {prompt}, where the boundaries between reality and imagination blur in a surreal, ethereal landscape. The {prompt} is reimagined in a dreamlike setting, surrounded by fantastical elements that defy logic and physics. The colors are soft and otherworldly, creating a sense of mystery and wonder. The composition is fluid and ambiguous, allowing the viewer's imagination to fill in the blanks. This style is about exploring the subconscious and the unknown, where the {prompt} becomes a part of a larger narrative of intrigue and enchantment. The dreamscape is not just a visual experience; it's an invitation to venture into the depths of imagination, where the {prompt} serves as a guide through the mesmerizing and unpredictable world of dreams."
misc-dystopian,"dystopian style {prompt} . bleak, post-apocalyptic, somber, dramatic, highly detailed","ugly, deformed, noisy, blurry, low contrast, cheerful, optimistic, vibrant, colorful","A dystopian style artwork of an {prompt}, bleak, post-apocalyptic, somber, dramatic, highly detailed, capturing a dystopian future.","Visualize a dystopian style artwork of an {prompt}, where the bleak and somber atmosphere of a post-apocalyptic world is captured. The {prompt} is depicted in a setting that is desolate and barren, reflecting the themes of decay and despair common in dystopian narratives. The colors are muted and dark, creating a sense of foreboding and hopelessness. The environment around the {prompt} is stark and inhospitable, possibly showing ruins, desolation, or a society in decline. This style is about more than creating a mood; it’s a commentary on the human condition and the potential consequences of our actions. The {prompt}, within this dystopian setting, becomes a symbol of what was or what could be, a poignant reminder of the fragility of civilization and the enduring spirit of survival."
